LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,YrSold,const
2522,7,5,2004,2004,1709,2,3,1,2006,1
6000,6,6,1925,1980,1103,1,2,1,2006,1
12735,4,5,1972,1972,864,1,3,1,2008,1
5362,5,6,1910,2003,1250,2,3,1,2007,1
11500,4,3,1957,1957,845,1,3,1,2009,1
9600,5,7,1949,2003,893,1,2,1,2007,1
7200,5,5,1972,1972,894,1,2,1,2009,1
7200,5,5,1980,1980,936,1,2,1,2007,1
7728,5,6,1962,1962,1190,1,3,1,2006,1
8199,7,5,2005,2005,1456,2,3,1,2008,1
10357,7,5,1990,1991,1442,2,3,1,2007,1
11175,7,5,2007,2007,1316,2,3,1,2007,1
10500,5,7,1971,2005,1109,1,3,1,2007,1
1890,6,5,1973,1973,1218,1,3,1,2007,1
10206,3,3,1952,1952,944,1,2,1,2009,1
13350,5,5,1974,1974,894,1,3,1,2006,1
12257,8,5,1995,1995,2531,2,4,1,2007,1
14778,6,7,1954,2006,1640,1,3,1,2008,1
6292,6,5,1930,1950,790,1,2,1,2008,1
11341,5,6,1957,1996,1392,1,3,1,2010,1
10440,6,7,1920,1950,2792,2,5,1,2008,1
8640,7,5,2009,2009,1852,2,3,1,2009,1
11275,6,7,1932,1950,1991,1,3,1,2007,1
11100,4,7,1946,2006,930,1,2,1,2010,1
7252,5,5,1982,1982,858,1,2,1,2009,1
10175,6,5,1964,1964,1425,2,3,1,2008,1
20781,7,7,1968,2003,2156,2,3,1,2006,1
7758,5,7,1962,2001,999,1,3,1,2007,1
9452,8,5,1997,1998,2392,2,3,1,2006,1
9541,7,5,2009,2009,1502,2,3,1,2009,1
4282,7,5,2004,2004,1391,2,2,1,2008,1
10421,7,5,1988,1988,1714,2,3,1,2010,1
8520,6,8,1928,2003,720,1,2,1,2010,1
11443,8,5,2005,2006,2028,2,2,1,2006,1
12798,6,5,1997,1997,1688,2,4,1,2008,1
16466,5,7,1955,1955,1393,1,3,1,2008,1
10593,7,5,1996,1996,1720,2,3,1,2010,1
8089,8,6,2007,2007,1419,2,2,1,2007,1
9084,5,6,1941,1950,1111,1,3,1,2008,1
10800,5,6,1915,1950,1652,2,4,1,2010,1
8765,4,6,1936,1950,951,1,2,1,2006,1
12000,5,7,1948,2005,1122,1,2,1,2008,1
10140,6,6,1974,1999,1309,1,3,1,2006,1
9900,7,5,1993,1993,2646,2,4,1,2009,1
35760,10,5,1995,1996,3627,3,4,1,2006,1
12342,4,5,1940,1950,861,1,1,1,2009,1
17140,4,6,1956,1956,1229,1,3,1,2009,1
9675,7,5,2005,2005,1971,2,3,1,2009,1
8750,5,6,1970,1970,1002,1,3,1,2009,1
13132,5,5,1914,1950,1784,1,4,1,2006,1
14598,6,5,2007,2007,1933,2,4,1,2008,1
9600,5,6,1956,1956,1050,1,2,1,2009,1
12090,6,7,1984,2003,1868,3,3,1,2007,1
9986,8,5,2006,2007,1795,2,2,1,2007,1
10134,5,6,1940,1950,1034,1,2,1,2007,1
8900,4,4,1966,1966,1056,1,2,1,2006,1
13214,9,5,2008,2009,2018,2,3,1,2010,1
8521,5,5,1967,1967,912,1,3,1,2010,1
8450,7,5,2003,2003,1337,2,3,1,2007,1
12919,9,5,2009,2010,2364,2,2,1,2010,1
9179,7,5,1999,1999,1790,2,3,1,2008,1
7750,7,5,2000,2000,1430,2,3,1,2010,1
9100,6,6,1959,1959,864,1,2,1,2009,1
8777,4,5,1949,2003,1126,2,2,1,2009,1
8430,5,5,1978,1978,1040,2,3,1,2009,1
10652,7,5,2006,2007,1494,2,3,1,2007,1
9230,5,8,1965,1998,1200,1,1,1,2006,1
4058,7,5,1998,1998,767,1,1,1,2007,1
13680,3,5,1955,1955,1733,2,4,1,2009,1
15602,7,8,1959,1997,1801,2,1,1,2010,1
15426,6,5,1997,1997,1764,2,3,1,2009,1
11839,7,5,1990,1990,2329,2,4,1,2008,1
8400,7,5,2004,2005,1484,2,3,1,2010,1
8760,7,5,2006,2006,1962,2,3,1,2006,1
6000,4,7,1954,2000,901,1,2,1,2008,1
12438,8,5,2006,2006,2576,2,4,1,2006,1
8235,5,7,1955,1995,825,1,2,1,2008,1
8500,4,4,1920,1950,1317,1,3,1,2008,1
13501,8,5,2006,2006,1636,2,3,1,2007,1
9825,5,5,1965,1965,1664,2,4,2,2010,1
10574,8,5,2005,2006,1953,2,3,1,2009,1
6120,5,7,1925,1950,1015,1,3,1,2006,1
9100,5,6,1965,1965,925,1,2,1,2009,1
9084,4,5,1940,1950,1510,1,4,1,2009,1
12378,9,5,2003,2004,1944,2,3,1,2006,1
8546,4,5,2003,2004,1121,2,2,1,2010,1
2280,6,5,1978,1978,1456,2,3,1,2010,1
13005,7,7,1980,1980,2353,2,4,1,2009,1
7226,7,5,2003,2003,1640,2,3,1,2008,1
7000,5,7,1910,1991,1347,1,3,1,2008,1
9600,6,8,1950,2005,1668,1,3,1,2009,1
9042,7,9,1941,2006,2340,2,4,1,2010,1
9819,5,5,1967,1967,900,1,3,1,2010,1
164660,5,6,1965,1965,1786,2,3,1,2008,1
12803,7,5,2002,2002,1494,2,3,1,2008,1
3363,7,5,2004,2004,1708,2,3,1,2006,1
4043,6,6,1977,1977,1069,2,2,1,2008,1
6820,8,5,1985,1985,1502,1,1,1,2010,1
7200,5,7,1950,1950,988,1,3,1,2007,1
7180,5,7,1972,1972,864,1,3,1,2008,1
1890,4,7,1972,1972,630,1,1,1,2008,1
11340,6,5,1923,1950,1200,1,4,1,2006,1
9819,6,5,1977,1977,1567,2,2,1,2009,1
10400,7,5,1988,1988,1872,2,3,1,2006,1
10475,8,5,2008,2008,1694,2,3,1,2010,1
8880,7,5,1994,2002,2110,2,3,1,2010,1
9560,5,7,1972,1972,864,1,3,1,2006,1
21695,6,9,1988,2007,1680,2,3,1,2009,1
13891,10,5,2006,2006,2076,2,2,1,2006,1
1680,6,8,1972,2007,987,1,2,1,2009,1
9056,8,5,2004,2004,1414,2,3,1,2006,1
12150,5,5,1954,1954,1795,2,4,1,2008,1
9480,5,7,1942,1995,1644,1,3,1,2007,1
8892,5,5,1960,1960,1065,1,3,1,2007,1
6040,4,5,1955,1955,1152,2,2,2,2008,1
9000,5,5,1954,1954,1128,1,2,1,2006,1
14774,9,5,1999,1999,2599,2,4,1,2010,1
11065,8,5,2006,2006,1970,2,3,1,2006,1
10500,4,5,1971,1971,864,1,3,1,2010,1
7314,7,5,2007,2007,1232,2,2,1,2009,1
10150,5,5,1958,1958,912,1,2,1,2007,1
11475,6,6,1975,1975,1552,2,3,1,2006,1
8944,5,5,1967,1967,1584,2,4,2,2009,1
8750,6,5,1998,1998,1682,2,3,1,2010,1
6951,5,5,1984,1985,923,1,3,1,2008,1
8200,7,5,2003,2004,1928,2,4,1,2007,1
7943,4,5,1961,1961,1029,1,3,1,2007,1
10141,7,5,1998,1998,1718,2,3,1,2009,1
12085,8,5,2007,2007,1734,2,3,1,2007,1
5400,4,6,1920,1950,1374,1,2,1,2009,1
12677,8,5,2003,2004,1518,1,1,1,2008,1
7449,7,7,1930,1950,1108,1,3,1,2007,1
16033,9,5,2004,2005,1850,2,3,1,2006,1
6000,5,8,1925,1997,1348,1,3,1,2009,1
4435,6,5,2003,2003,848,1,1,1,2008,1
13515,6,6,1919,1950,1824,1,3,1,2007,1
3182,7,5,2005,2006,1555,2,2,1,2009,1
8750,7,5,1996,1996,1716,2,2,1,2009,1
3675,5,5,2005,2005,1072,1,2,1,2006,1
12030,8,5,2007,2007,1694,2,3,1,2007,1
8339,5,7,1959,1959,882,1,3,1,2007,1
8741,6,4,1945,1950,1487,1,3,1,2010,1
11218,6,5,1992,1992,1845,2,3,1,2010,1
1477,4,4,1970,1970,630,1,1,1,2009,1
15523,5,6,1972,1972,864,1,3,1,2009,1
13472,10,5,2003,2003,2392,2,3,1,2009,1
9439,5,5,1930,1950,1248,1,2,1,2007,1
7050,7,5,2001,2001,1929,2,3,1,2007,1
14115,5,5,1993,1995,1362,1,1,1,2009,1
1869,6,6,1970,1970,987,1,2,1,2008,1
9100,7,5,2004,2005,1836,2,3,1,2006,1
8724,5,5,1968,1968,894,1,3,1,2007,1
9531,6,5,1998,1998,1796,2,3,1,2007,1
13518,9,5,2008,2009,3140,3,4,1,2009,1
8450,7,5,2000,2001,1349,2,3,1,2007,1
9906,4,4,1925,1950,1328,1,3,1,2006,1
4435,6,5,2003,2004,848,1,1,1,2009,1
16321,5,6,1957,1997,1600,1,2,1,2006,1
9600,5,7,1910,2002,1432,2,2,1,2007,1
6292,7,7,1928,1950,1477,2,3,1,2009,1
21000,6,5,1953,1953,2259,2,3,1,2007,1
9742,8,5,2002,2002,1795,2,3,1,2008,1
10656,8,5,2006,2007,1646,2,3,1,2007,1
10356,5,6,1975,1975,969,1,3,1,2007,1
7535,5,7,1958,1985,912,1,2,1,2007,1
9571,5,3,1958,1958,1276,1,3,1,2009,1
4270,3,6,1931,2006,774,1,3,1,2007,1
6970,4,5,1961,1961,1120,1,3,1,2007,1
9600,6,8,1976,1976,1262,2,3,1,2007,1
10400,7,5,1998,1998,1779,2,3,1,2009,1
16659,7,7,1977,1994,2263,2,3,1,2006,1
3180,7,5,2005,2005,1200,2,2,1,2006,1
13891,9,5,2008,2009,2822,3,4,1,2009,1
5814,8,5,1984,1984,1360,1,1,1,2009,1
5825,4,5,1926,1953,747,1,1,1,2006,1
10012,4,5,1972,1972,1181,2,3,1,2008,1
10125,5,5,1977,1977,1734,2,4,2,2009,1
12256,8,5,1994,1995,2622,2,3,1,2010,1
5400,5,6,1920,1950,691,1,2,1,2007,1
6120,4,7,1935,1995,1573,1,3,1,2009,1
10637,8,5,2007,2008,1718,2,3,1,2009,1
13651,7,6,1973,1973,2223,2,3,1,2007,1
5000,5,6,1941,1950,803,1,2,1,2007,1
11000,8,5,2000,2000,2285,2,4,1,2007,1
10562,8,5,2007,2007,2161,1,3,1,2007,1
7200,5,7,1940,1992,804,1,2,1,2010,1
18000,3,4,1935,1950,894,1,2,1,2008,1
2016,5,5,1970,1970,1302,2,3,1,2007,1
9758,5,5,1971,1971,950,1,3,1,2007,1
8755,7,5,1999,1999,2060,2,3,1,2009,1
4426,6,5,2004,2004,848,1,1,1,2008,1
16196,7,5,1998,1998,1494,2,3,1,2007,1
8294,4,5,1971,1971,872,1,3,1,2007,1
7301,7,5,2003,2003,1922,3,4,1,2009,1
9236,6,5,1997,1997,1494,2,3,1,2006,1
11500,5,6,1976,1976,1680,2,4,2,2007,1
9000,6,3,1928,1950,784,1,2,1,2009,1
17043,6,5,1979,1998,1586,2,3,1,2009,1
11049,8,5,2007,2007,1234,2,3,1,2008,1
19378,7,5,2005,2006,2462,2,4,1,2006,1
9765,6,8,1993,1993,1470,2,3,1,2009,1
8470,3,2,1915,1982,1526,1,2,1,2009,1
9600,6,5,1924,1950,1096,1,2,1,2008,1
5720,5,6,1941,1950,1131,1,3,1,2009,1
6600,5,8,1982,2003,816,1,2,1,2008,1
7630,5,9,1900,1996,1812,2,4,2,2010,1
7259,6,8,1945,2002,2320,2,3,1,2007,1
11345,5,5,1948,1950,1920,2,4,2,2007,1
6955,7,5,2005,2006,1368,2,2,1,2006,1
13891,8,5,2007,2008,1710,2,2,1,2008,1
9000,2,3,1949,1950,480,0,1,1,2006,1
25286,4,5,1963,1963,1040,1,3,1,2007,1
5389,8,5,1995,1996,1616,2,2,1,2010,1
15256,8,5,2007,2007,1464,2,3,1,2007,1
15593,7,4,1953,1953,2287,2,3,1,2006,1
10182,8,5,2006,2006,1660,2,3,1,2006,1
10226,8,5,2008,2008,1630,2,3,1,2009,1
9170,5,7,1965,1965,1214,1,2,1,2007,1
12203,8,5,1998,1999,2612,2,4,1,2009,1
19900,7,5,1970,1989,2207,2,3,1,2010,1
11207,6,5,1997,1997,1511,2,3,1,2006,1
11717,6,6,1970,1970,1442,2,2,1,2009,1
4224,5,7,1976,1976,1060,1,3,1,2007,1
11003,10,5,2008,2008,2007,2,3,1,2009,1
7922,5,7,1953,2007,1057,1,3,1,2010,1
14781,8,5,2001,2002,1787,2,3,1,2006,1
10152,5,5,1956,1956,1048,1,3,1,2007,1
13346,7,5,1992,2000,2295,2,4,1,2006,1
9000,6,5,1956,1956,1196,1,2,1,2008,1
12435,7,5,2001,2001,1792,2,3,1,2008,1
6000,3,7,1948,2002,1183,1,2,1,2007,1
9416,7,5,2007,2007,1726,2,3,1,2007,1
21535,10,6,1994,1995,4316,3,4,1,2007,1
4920,8,5,2001,2001,1338,2,2,1,2010,1
8335,5,5,1954,1954,1124,1,3,1,2006,1
12800,7,5,1989,1989,1644,2,2,1,2009,1
8749,7,5,2002,2002,1459,2,3,1,2007,1
5395,8,5,1993,1993,1337,2,2,1,2008,1
10410,3,4,1915,1950,1214,1,3,1,2006,1
7415,6,5,2004,2004,1593,2,3,1,2008,1
9000,8,5,2006,2006,1959,2,3,1,2007,1
6420,5,7,1952,1952,1148,1,2,1,2006,1
8834,9,5,2004,2005,2224,2,4,1,2009,1
7500,6,7,1942,1950,1494,1,3,1,2009,1
9477,5,5,1966,1966,892,1,3,1,2008,1
14303,8,5,1994,1994,1987,2,2,1,2008,1
6380,5,6,1922,1950,1048,1,2,1,2006,1
11796,7,5,2004,2005,1959,2,4,1,2007,1
7500,7,5,1999,1999,1804,2,3,1,2010,1
7596,5,5,1952,1952,1960,2,4,2,2009,1
10655,8,5,2003,2004,1629,2,3,1,2009,1
11700,7,7,1880,2003,2640,1,4,1,2009,1
9750,7,6,1998,1998,2097,2,3,1,2006,1
5000,5,4,1900,1950,1440,1,3,1,2006,1
7200,5,4,1910,2006,1022,1,2,1,2009,1
8777,5,7,1900,2003,2200,2,4,2,2008,1
12394,7,5,2003,2003,1733,2,3,1,2007,1
10240,6,6,1980,1980,1686,2,3,1,2006,1
9920,5,5,1954,1954,1063,1,3,1,2010,1
10335,7,5,1999,1999,1501,2,3,1,2009,1
21750,5,4,1960,2006,1771,1,3,1,2009,1
8125,7,5,2002,2002,1654,2,3,1,2006,1
10998,5,5,1941,1960,1604,2,3,1,2009,1
9156,6,7,1968,1968,1489,2,3,1,2009,1
15623,10,5,1996,1996,4476,3,4,1,2007,1
17217,5,5,2006,2006,1140,1,3,1,2006,1
7920,6,7,1920,1950,1406,1,3,1,2008,1
11250,8,5,2002,2002,2290,2,4,1,2008,1
22950,10,9,1892,1993,3608,2,4,1,2006,1
7800,5,5,1964,1964,912,1,2,1,2006,1
7560,5,6,1958,1965,1339,1,3,1,2009,1
9600,8,5,1981,1981,2524,2,4,1,2009,1
3013,7,5,2005,2005,1506,2,2,1,2006,1
10186,7,5,1992,1992,1923,2,3,1,2010,1
10267,6,7,1918,2000,838,1,2,1,2008,1
8263,6,5,1920,1950,1012,1,2,1,2007,1
8529,7,5,2001,2001,1434,2,3,1,2009,1
7472,7,9,1972,2004,1479,1,4,1,2007,1
9945,5,5,1961,1961,988,1,3,1,2007,1
10240,8,5,2005,2005,2098,2,3,1,2006,1
13500,6,7,1960,1975,1252,1,1,1,2008,1
6882,6,7,1914,2006,1355,1,3,1,2007,1
13000,6,6,1968,1968,2142,2,4,1,2009,1
4456,4,5,1920,2008,1452,2,2,3,2009,1
6858,6,4,1915,1950,1647,1,4,1,2010,1
8400,6,5,1940,2000,1595,1,2,1,2006,1
4130,3,6,1935,2003,729,1,2,1,2008,1
16635,6,7,1977,2000,1602,2,3,1,2009,1
14115,6,7,1956,2004,1811,1,2,1,2006,1
3675,6,5,2005,2006,1072,2,2,1,2006,1
8400,8,6,2001,2001,1665,2,3,1,2009,1
13560,6,3,1968,1968,1392,1,2,1,2009,1
7838,5,5,1967,1967,900,1,3,1,2006,1
7200,5,5,1950,1950,1048,1,3,1,2008,1
10011,5,6,1957,1996,1236,1,2,1,2006,1
9100,5,5,1958,1958,864,1,3,1,2006,1
13286,9,5,2007,2008,1698,2,3,1,2009,1
10603,6,7,1977,2001,1610,2,3,1,2010,1
9360,6,7,1972,2006,1381,1,3,1,2010,1
8400,5,5,1977,1977,2020,2,4,2,2007,1
9591,8,5,2004,2005,2473,2,4,1,2007,1
15138,8,5,1995,1996,2794,2,4,1,2009,1
9855,6,5,1956,1956,1689,1,3,1,2009,1
12393,7,5,2004,2005,1948,2,4,1,2006,1
7438,5,8,1908,1991,1252,1,3,1,2006,1
11235,4,5,1963,1979,1382,1,3,1,2006,1
3922,7,5,2006,2007,1402,0,2,1,2007,1
7740,4,7,1910,1950,1363,1,3,1,2010,1
3196,8,5,2003,2003,1456,2,2,1,2006,1
10261,6,5,2000,2000,1792,2,3,1,2008,1
6120,5,6,1936,1950,1539,1,3,1,2009,1
10728,8,5,2006,2006,1939,2,3,1,2006,1
6897,5,8,1962,2010,1040,1,3,1,2010,1
10927,8,5,2005,2005,1904,2,3,1,2006,1
8780,5,5,1985,1985,833,1,3,1,2009,1
8738,7,5,1999,1999,2291,2,4,1,2006,1
16226,8,5,1998,1999,2452,2,4,1,2007,1
12704,8,5,2008,2009,2042,2,3,1,2009,1
9549,8,5,1995,1996,1494,1,2,1,2006,1
11767,4,7,1910,2000,1346,1,2,1,2007,1
8846,5,5,1996,1996,914,1,2,1,2006,1
1300,6,6,1980,1980,1229,1,2,1,2009,1
5063,7,5,2007,2008,1314,2,2,1,2009,1
12205,6,8,1966,2007,2087,2,5,1,2007,1
4060,6,5,1998,1999,1337,2,2,1,2008,1
7800,5,5,1965,1965,965,1,3,1,2006,1
12354,6,8,1920,2000,1196,1,3,1,2009,1
10721,6,6,1959,1959,1252,1,3,1,2008,1
70761,7,5,1975,1975,1533,2,2,1,2006,1
10762,6,6,1980,1980,1217,1,3,1,2009,1
12552,7,5,2004,2005,1947,2,3,1,2010,1
12108,4,4,1955,1955,1440,2,4,2,2008,1
11146,8,5,2006,2006,1717,2,3,1,2009,1
8791,6,5,2003,2003,1728,2,3,1,2008,1
9017,7,5,1999,1999,1431,2,3,1,2009,1
10120,7,4,1910,1950,1889,1,4,2,2007,1
10440,5,6,1910,1981,1230,1,2,1,2009,1
9286,5,7,1977,1989,1268,1,3,1,2009,1
10921,4,5,1965,1965,960,1,3,1,2007,1
10205,5,5,1962,1962,999,1,3,1,2006,1
3378,7,8,1946,1992,1389,1,3,1,2009,1
9600,6,7,1976,1994,1855,2,3,1,2007,1
1680,6,5,1971,1971,1218,1,3,1,2006,1
8978,5,5,1968,1968,948,1,3,1,2007,1
3500,5,7,1947,1950,1284,1,2,1,2009,1
8012,6,5,1993,1994,1617,2,2,1,2008,1
8500,5,7,1919,2005,1517,2,3,1,2007,1
10625,7,5,2005,2005,1958,2,3,1,2008,1
9750,5,5,1967,1967,980,2,3,1,2006,1
10482,6,8,1958,1958,1138,1,3,1,2007,1
8049,7,5,1990,1990,1339,2,2,1,2006,1
2665,5,6,1977,1977,1475,2,4,1,2006,1
12244,8,5,2003,2003,2262,2,4,1,2008,1
1974,4,5,1973,1973,1092,1,3,1,2010,1
16737,9,5,2004,2005,1980,2,3,1,2006,1
5604,5,6,1925,1950,864,1,2,1,2008,1
9453,7,7,1993,2003,1744,2,3,1,2010,1
7577,6,5,2005,2006,1362,2,2,1,2007,1
11361,6,5,1976,1976,1523,2,3,1,2008,1
18800,6,5,1976,1976,1574,2,3,1,2006,1
9000,8,5,2008,2008,1590,2,3,1,2009,1
10005,7,5,1977,1977,2022,2,4,1,2008,1
5520,6,6,1912,1950,2229,1,5,1,2009,1
14226,8,5,2006,2006,1973,2,3,1,2007,1
11841,6,5,1990,1990,816,1,3,1,2007,1
12118,7,5,2004,2005,1710,2,3,1,2009,1
14442,6,7,1957,2004,1839,2,3,1,2007,1
7851,6,5,2002,2002,1960,2,4,1,2010,1
6000,6,6,1939,1950,1412,1,4,1,2009,1
1680,6,5,1972,1972,987,1,2,1,2006,1
8280,6,5,1950,1950,932,1,2,1,2007,1
5687,5,6,1912,2000,1716,2,6,1,2008,1
10395,6,6,1978,1978,1032,2,3,1,2007,1
25339,5,7,1918,2007,1416,2,3,1,2007,1
9245,7,5,2006,2006,1797,2,3,1,2007,1
13474,7,5,1990,1991,2243,2,4,1,2007,1
9317,7,5,1993,1993,1775,2,3,1,2009,1
21286,5,5,1948,1950,1271,2,4,1,2008,1
8593,4,6,1957,1957,907,1,3,1,2008,1
9060,5,6,1957,2006,1340,1,3,1,2007,1
18030,5,6,1946,1994,3086,3,3,1,2007,1
9571,5,6,1956,1956,1144,1,3,1,2010,1
7200,6,6,1910,1998,2291,2,4,2,2007,1
9900,6,4,1880,1950,2210,2,5,1,2007,1
9375,7,5,1997,1998,2034,2,3,1,2009,1
1680,6,3,1971,1971,987,1,2,1,2008,1
13031,6,5,1995,1996,1498,2,3,1,2006,1
6371,7,5,2009,2010,1358,2,2,1,2010,1
11957,8,5,2006,2006,1574,2,3,1,2008,1
11645,7,5,2004,2004,1720,2,3,1,2006,1
24682,6,5,1999,1999,1675,2,3,1,2009,1
11050,9,5,2000,2000,2153,2,3,1,2009,1
1680,6,5,1973,1973,987,1,2,1,2008,1
10007,5,7,1959,2006,1053,1,3,1,2008,1
14536,8,5,2002,2003,1629,2,3,1,2007,1
5250,8,5,1872,1987,2358,2,4,1,2008,1
9142,6,8,1910,1950,1928,2,4,2,2006,1
9180,5,7,1983,1983,884,1,2,1,2007,1
